shape_id,shape_pt_lat,shape_pt_sequence,shape_dist_traveled,shape_pt_lon
1,60.37108673484637,101,20.070000000000004,25.240488052368164
1,60.37276279624529,102,20.520000000000003,25.24786949157715
1,60.37535097486695,103,21.040000000000003,25.255722999572754
1,60.37679347700127,104,21.35,25.260615348815918
1,60.377175305111,105,21.520000000000003,25.263619422912598
1,60.37687832807906,106,21.76,25.267910957336422
1,60.37674044496545,107,21.8,25.2685546875
1,60.376019200707674,108,21.89,25.2679967880249
1,60.3767722641973,109,21.98,25.268747806549072
1,60.37700560428137,110,22.080000000000002,25.26707410812378
1,60.37720712391816,111,22.23,25.264370441436764
1,60.37711166740348,112,22.32,25.262653827667233
1,60.3766980192746,113,22.48,25.259907245635986
1,60.37442816426974,114,22.96,25.25256872177124
1,60.37338864516765,115,23.17,25.249435901641846
1,60.372158151124076,116,23.46,25.244736671447754
